model,epoch,train_loss,val_macro_f1,val_balanced_accuracy,learning_rate
direct_small_cnn,1,0.6022791990460764,0.8501666568734871,0.8950672346882802,0.00019659258262890683
direct_small_cnn,2,0.4079590586921837,0.7814347612644341,0.8596761046431153,0.0001866025403784439
direct_small_cnn,3,0.35669109215116546,0.7690051883600271,0.8565873589558245,0.00017071067811865476
direct_small_cnn,4,0.3245652513007226,0.8837032848602593,0.9085013559721731,0.00015000000000000001
direct_small_cnn,5,0.31357889267694866,0.7114226355491765,0.6786679175445881,0.0001258819045102521
direct_small_cnn,6,0.30528967034619414,0.8540250645297459,0.8296370916063016,0.00010000000000000002
direct_small_cnn,7,0.29016277844044575,0.8178167492692845,0.8809846049737777,7.411809548974796e-05
direct_resnet18,1,0.3221749313821347,0.9478800834733039,0.9627889451100413,0.00019659258262890683
direct_resnet18,2,0.11427912850952195,0.9750974993824293,0.9757283544290819,0.0001866025403784439
direct_resnet18,3,0.08284272607452188,0.9750974993824293,0.9757283544290819,0.00017071067811865476
direct_resnet18,4,0.07435386522537951,0.9736113759708901,0.9710965175353604,0.00015000000000000001
direct_resnet18,5,0.06141097209223173,0.9679829909639496,0.9798039607716481,0.0001258819045102521
direct_efficientnet_b0,1,0.5529289870944788,0.9570401958461661,0.9752951610505325,0.00019659258262890683
direct_efficientnet_b0,2,0.169471028666307,0.9638226461755873,0.9712195547079661,0.0001866025403784439
direct_efficientnet_b0,3,0.1329310525057787,0.9830508258775386,0.9862582857845927,0.00017071067811865476
direct_efficientnet_b0,4,0.07198156788945398,0.9741590329825625,0.9817187267703255,0.00015000000000000001
direct_efficientnet_b0,5,0.0576188884350953,0.9789456369767251,0.9776738797209107,0.0001258819045102521
direct_efficientnet_b0,6,0.029935885554827284,0.9829614469458726,0.9836027334758515,0.00010000000000000002
